NUMBER,TEXT,A,B,C,D,E
43,"Does the Executive’s Budget Proposal or any supporting budget documentation present information on future liabilities, such as civil service pensions?","Yes, extensive information on future liabilities is presented, including both a narrative discussion and quantitative estimates.","Yes, information is presented, highlighting key future liabilities, but some details are excluded.","Yes, some information is presented, but it lacks important details.","No, information on future liabilities is not presented.",Not applicable/other (please comment).
44,"Does the Executive’s Budget Proposal or any supporting budget documentation provide details on the sources of donor assistance, both financial and in-kind?",All sources of donor assistance are identified individually.,"At least two-thirds of, but not all, sources of donor assistance are identified individually.",Less than two-thirds of sources of donor assistance are identified individually.,No sources of donor assistance are identified individually.,Not applicable/other (please comment).
45,Does the Executive’s Budget Proposal or any supporting budget documentation present information on tax expenditures for at least the budget year?,"Yes, extensive information on tax expenditures is presented, including both a narrative discussion and quantitative estimates.","Yes, information is presented, highlighting key tax expenditures, but some details are excluded."," Yes, some information is presented, but it lacks important details."," No, information on tax expenditures is not presented.",Not applicable/other (please comment).
46,Does the Executive’s Budget Proposal or any supporting budget documentation identify all earmarked revenues?, All earmarked revenues are identified individually.,"At least two-thirds of, but not all, earmarked revenues are identified individually.", Less than two-thirds of earmarked revenues are identified individually., No earmarked revenues are identified individually., Not applicable/other (please comment).
47,"What percentage of expenditure in the budget year is dedicated to spending on secret items relating to, for instance, national security and military intelligence?",One percent or less of expenditure is dedicated to secret items.,"Three percent or less, but more than one percent, of expenditure is dedicated to secret items.","Eight percent or less, but more than three percent, of expenditure is dedicated to secret items."," More than eight percent of expenditure is dedicated to secret items, or the percentage is not available to the public.", Not applicable/other (please comment).
48,"Does the Executive’s Budget Proposal or any supporting budget documentation explain how the proposed budget is linked to government’s stated policy goals, by administrative unit or functional category, for the budget year?"," Yes, extensive information on the link between the budget and the government’s stated policy goals, by administrative unit or functional category, is presented, including both a narrative discussion and quantitative estimates.","Yes, information is presented, highlighting the link between major policy goals and the budget, but some details are excluded.","Yes, some information is presented, but it lacks important details."," No, information on the link between the budget and the government’s stated policy goals is not presented.",Not applicable/other (please comment).
49,Does the Executive’s Budget Proposal or any supporting budget documentation explain how the proposed budget is linked to government’s stated policy goals for a multi-year period (for at least two years beyond the budget year)?,"Yes, extensive information on the link between the budget and the government’s stated policy goals over a multi-year period is presented, including both a narrative discussion and quantitative estimates."," Yes, information is presented, highlighting the major policy goals, but some details are excluded."," Yes, some information is presented, but it lacks important details.","No, information on the link between the budget and the government’s stated policy goals over a multi-year period is not presented.",Not applicable/other (please comment).
50,"Does the Executive’s Budget Proposal or any supporting budget documentation present nonfinancial data, such as the number of beneficiaries, for expenditure programs?",Nonfinancial data are presented for all programs.," Nonfinancial data are presented for programs representing at least two-thirds of, but not all, expenditures.", Nonfinancial data are presented for programs representing less than two-thirds of expenditure.,No nonfinancial data are presented., Not applicable/other (please comment).
51,Are the nonfinancial data presented useful for assessing how an expenditure program is performing?,The nonfinancial data are very useful for assessing program performance.,The nonfinancial data are mostly useful for assessing program performance.,The nonfinancial data are somewhat useful for assessing program performance.,No nonfinancial data are provided or they are not useful for assessing program performance.,
52,Does the Executive’s Budget Proposal or any supporting budget documentation contain performance indicators for expenditure programs?, Performance indicators are presented for all programs.,"Performance indicators are presented for programs representing at least two-thirds of, but not all, expenditures.",Performance indicators are presented for programs representing less than two-thirds of expenditures., No performance indicators are presented., Not applicable/other (please comment).
53,"Are the performance indicators sufficiently well designed, such that one can assess whether there has been progress toward meeting policy goals?",All performance indicators are well designed.,Most performance indicators are well designed.," Some performance indicators are well designed, but most are not.","No programs have performance indicators, or they are not well designed.",Not applicable/other (please comment).
54,Are performance indicators used in conjunction with performance targets presented in the Executive’s Budget Proposal or any supporting budget documentation?,All performance indicators are used in conjunction with performance targets.,Most performance indicators are used in conjunction with performance targets.,"Some performance indicators are used in conjunction with performance targets, but most are not.",No performance indicators are used in conjunction with performance targets., Not applicable/other (please comment).
55,Does the Executive’s Budget Proposal or any supporting budget documentation present information on policies (both proposals and existing commitments) that are intended to benefit directly the country’s most impoverished populations in at least the budget year?,"Yes, extensive information on policies intended to alleviate poverty is presented, including both a narrative discussion and quantitative estimates.","Yes, information is presented, highlighting the impact of key policies intended to alleviate poverty, but some details are excluded.","Yes, some information is presented, but it lacks important details.","No, information on policies intended to alleviate poverty is not presented.",Not applicable/other (please comment).
56,How far in advance of the release of the budget is the day of its release known? , The release date is set in permanent law. ,The executive announces the release date at least two months in advance. ,"The executive announces the release date less than two months, but more than two weeks, in advance. "," The executive announces the release date two weeks or less before the release, or makes no announcement. ",Not applicable/other (please comment). 
57,"Does the executive release to the public its timetable for formulating the Executive’s Budget Proposal (that is, a document setting deadlines for submissions from other government entities, such as line ministries or subnational government, to the Ministry of Finance or whatever central government agency is in charge of coordinating the budget’s formulation)?"," Yes, a detailed timetable is released to the public.","Yes, a timetable is released, but some details are excluded.","Yes, a timetable is released, but it lacks important details."," No, a timetable is not issued to the public.",Not applicable/other (please comment).
58,Does the executive adhere to its timetable for the preparation and release of the budget?,The executive adheres to the dates in its timetable.,The executive adheres to most of the key dates in its timetable., The executive has difficulty adhering to most of the dates in its timetable.,"The executive does not adhere to the dates in its timetable, or it does not release to the public its timetable.",Not applicable/other (please comment).
59,Does the executive hold consultations with members of the legislature as part of its process of determining budget priorities?," Yes, the executive holds extensive consultations with a wide range of legislators."," Yes, the executive holds consultations with a range of legislators, but some key members are excluded."," Yes, the executive holds very limited consultations, involving only a few members of the legislature.","No, the executive does not typically consult with members of the legislature as part of the budget preparation process.",Not applicable/other (please comment).
60,When does the executive release a Pre-Budget Statement to the public?,The executive releases a Pre-Budget Statement at least four months in advance of the start of the budget year.,The executive releases a Pre-Budget Statement at least two months (but less than four months) in advance of the start of the budget year.," The executive releases a Pre-Budget Statement, but it is released less than two months before the start of the budget year.",The executive does not release a Pre-Budget Statement., Not applicable/other (please comment).
61,Does the Pre-Budget Statement describe the government’s macroeconomic and fiscal framework?," Yes, an extensive explanation of the government’s fiscal and macroeconomic policy is presented, including both a narrative discussion and quantitative estimates."," Yes, an explanation is presented that highlights key aspects of the fiscal and macroeconomic framework, but some details are excluded."," Yes, some explanation is presented, but it lacks important details.","No, an explanation is not presented, or the executive does not release to the public a Pre-Budget Statement.",Not applicable/other (please comment).
62,Does the Pre-Budget Statement describe the government’s policies and priorities that will guide the development of detailed estimates for the upcoming budget?,"Yes, an extensive explanation of the government’s budget policies and priorities is presented, including both a narrative discussion and quantitative estimates.","Yes, an explanation is presented, highlighting key aspects of the government’s budget policies and priorities, but some details are excluded.","Yes, some explanation is presented, but it lacks important details."," No, an explanation is not presented, or the executive does not release to the public a Pre-Budget Statement.", Not applicable/other (please comment).
63,"How often does the executive release to the public In-Year Reports on actual expenditure (organized by administrative unit, economic classification, and/or function)?", In-Year Reports on actual expenditure are released at least every month.,In-Year Reports on actual expenditure are released at least every quarter.,In-Year Reports on actual expenditure are released at least semi-annually.,In-Year Reports on actual expenditure are not released.,Not applicable/other (please comment).
64,"What share of expenditure is covered by In-Year Reports on actual expenditure (organized by administrative unit, economic classification, and/or function)?", In-Year Reports cover all expenditures.,"In-Year Reports cover at least two-thirds, but not all, of expenditures.", In-Year Reports cover less than two-thirds of expenditures.,No In-Year Reports are released to the public.,Not applicable/other (please comment).
65,What is the most detail provided in the In-Year Reports on actual expenditures organized by administrative unit?,The In-Year Reports on actual expenditures organized by administrative unit contain program-level detail.,"The In-Year Reports on actual expenditures organized by administrative unit contain departmental totals and some additional details (for instance, subdepartment totals or major programs).",The In-Year Reports on actual expenditures organized by administrative unit contain only departmental totals.,"The In-Year Reports on actual expenditures organized by administrative unit are not released to the public, not produced, or contain less information than at least departmental totals.",Not applicable/other (please comment).
66,Do the In-Year Reports released to the public compare actual year-to-date expenditures with either the original estimate for that period (based on the enacted budget) or the same period in the previous year?," Yes, comparisons are made for all expenditures.","Yes, comparisons are made for at least two-thirds of, but not all, expenditures.","Yes, but comparisons are made for less than two-thirds of expenditures.","No, comparisons are not made, or no In-Year Reports are released to the public.",Not applicable/other (please comment).
67,How often does the executive release to the public In-Year Reports on actual revenue collections by source of revenue?, In-Year Reports on actual revenue collections by source of revenue are released at least every month.,In-Year Reports on actual revenue collections are released at least every quarter.,In-Year Reports on actual revenue collections are released at least semi-annually.,In-Year Reports on actual revenue collections by source of revenue are not released., Not applicable/other (please comment).
68,What share of revenue is covered by the In-Year Reports on actual revenue collections?, In-Year Reports cover the actual revenue collections of all sources of revenue.," In-Year Reports cover the actual revenue collections of at least two-thirds of, but not all, sources of revenue.", In-Year Reports cover actual revenue collections of less than two-thirds of revenue sources.,In-Year Reports on actual revenue collections are not released to the public., Not applicable/other (please comment).
69,Do the In-Year Reports released to the public compare actual year-to-date revenue collections with either the original estimate for that period (based on the enacted budget) or the same period in the previous year?,"Yes, comparisons are made for all revenue sources.","Yes, comparisons are made for at least two-thirds of, but not all, revenue sources."," Yes, but comparisons are made for less than two-thirds of revenue sources.","No, comparisons are not made, or no In-Year Reports are released to the public.", Not applicable/other (please comment).
70,Does the executive release to the public In-Year Reports on actual borrowing?,"Yes, In-Year Reports on actual borrowing are released at least every month."," Yes, In-Year Reports on actual borrowing are released at least every quarter."," Yes, In-Year Reports on actual borrowing are released at least semi-annually.","No, In-Year Reports on actual borrowing are not released. ", Not applicable/other (please comment). 
71,"Do In-Year Reports released to the public on actual borrowing present information related to the composition of government debt (such as interest rates on the debt, maturity profile of the debt, and currency denomination of the debt) for the budget year?","Yes, extensive information related to the composition of government debt is presented.","Yes, key additional information is presented, but some details are excluded."," Yes, some additional information is presented, but it lacks important details."," No, additional information related to the composition of government debt is not presented, or such In-Year Reports on borrowing are not released.",Not applicable/other (please comment).
72,"For In-Year Reports on actual expenditure released to the public by the executive, how much time typically elapses between the end of the reporting period and when the report is released (e.g., are quarterly reports released less than four weeks after the end of the quarter)?", Reports are released one month or less after the end of the period.,Reports are released two months or less (but more than one month) after the end of the period.,Reports are released more than two months after the end of the period.,In-year Reports are not released.,Not applicable/other (please comment).
73,Does the executive release to the public a Mid-Year Review of the budget that discusses the changes in economic outlook since the budget was enacted?,"Yes, the Mid-Year Review includes an extensive discussion of the economy that includes a revised forecast for the full fiscal year and its effects on the budget.","Yes, the Mid-Year Review includes a discussion of the economy, but it lacks some details.","Yes, the Mid-Year Review includes a discussion of the economy, but it lacks important details. ","No, the Mid-Year Review does not include a discussion of the economy, or the executive does not release a Mid-Year Review of the budget.",Not applicable/other (please comment).
74,Does the executive release to the public a Mid-Year Review of the budget that includes updated expenditure estimates for the budget year underway? ,"Yes, the Mid-Year Review includes updated expenditure estimates for the full fiscal year, providing extensive information on why estimates have changed from the original enacted levels. ","Yes, the Mid-Year Review includes updated estimates of expenditure, but some details on why estimates have changed are not provided. "," Yes, the Mid-Year Review includes updated estimates of expenditure, but important details on why estimates have changed are not provided. ","No, the Mid-Year Review does not include updated expenditure estimates for the budget year, or the executive does not release a Mid-Year Review of the budget. ",Not applicable/other (please comment). 
75,What is the most detail provided in the Mid-Year Review for expenditures?,The Mid-Year Review includes program-level detail for expenditures.," The Mid-Year Review includes departmental totals (or functional totals) and some additional details (for instance, subdepartment totals or major programs).", The Mid-Year Review includes only departmental totals (or functional totals).,"The Mid-Year Review includes less information than departmental totals (or functional totals) for expenditures, or the executive does not release a Mid-Year Review of the budget.",Not applicable/other (please comment).
76,Does the executive release to the public a Mid-Year Review of the budget that includes updated revenue estimates for the budget year underway?,"Yes, the Mid-Year Review includes updated revenue estimates for the full fiscal year, providing extensive information on why estimates have changed from the original enacted levels.","Yes, the Mid-Year Review includes updated estimates of revenue, but some details on why estimates have changed are not provided.","Yes, the Mid-Year Review includes updated estimates of revenue, but important details on why estimates have changed are not provided.","No, the Mid-Year Review does not include updated revenue estimates for the budget year, or the executive does not release a Mid-Year Review of the budget.",Not applicable/other (please comment).
77,How long after the end of the budget year does the executive release to the public a Year-End Report that discusses the budget’s actual outcome for the year?,The Year-End Report is released six months or less after the end of the fiscal year.,The Year-End Report is released 12 months or less (but more than six months) after the end of the fiscal year.,The Year-End Report is released more than 12 months after the end of the fiscal year.,The executive does not release a Year-End Report.,Not applicable/other (please comment).
78,In the Year-End Report have the data on the actual outcomes been audited?,"Yes, all data on actual outcomes have been audited.","At least two-thirds, but not all, of the data on actual outcomes have been audited.", Less than two-thirds of the data on actual outcomes have been audited.,"None of the data on actual outcomes has been audited, or a Year-End Report is not released.", Not applicable/other (please comment).
